Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Scrooge: A Christmas Carol,1h 36m,TV-Y7,6.2,,['Stephen Donnelly'],"['Leslie Bricusse', 'Stephen Donnelly', 'Charles Dickens']","['Luke Evans', 'Olivia Colman', 'Jessie Buckley']",Computer Animation,"['United Kingdom', 'United States']",[],['English'],2022
Scrooge: A Christmas Carol,1h 36m,TV-Y7,6.2,,['Stephen Donnelly'],"['Leslie Bricusse', 'Stephen Donnelly', 'Charles Dickens']","['Luke Evans', 'Olivia Colman', 'Jessie Buckley']",Holiday Animation,"['United Kingdom', 'United States']",[],['English'],2022
Scrooge: A Christmas Carol,1h 36m,TV-Y7,6.2,,['Stephen Donnelly'],"['Leslie Bricusse', 'Stephen Donnelly', 'Charles Dickens']","['Luke Evans', 'Olivia Colman', 'Jessie Buckley']",Holiday Family,"['United Kingdom', 'United States']",[],['English'],2022
Weird: The Al Yankovic Story,1h 48m,TV-14,6.9,,['Eric Appel'],"[""'Weird Al' Yankovic"", 'Eric Appel']","['Diedrich Bader', 'Daniel Radcliffe', 'Lin-Manuel Miranda']",Quirky Comedy,['United States'],"['Los Angeles, California, USA']",['English'],2022
Weird: The Al Yankovic Story,1h 48m,TV-14,6.9,,['Eric Appel'],"[""'Weird Al' Yankovic"", 'Eric Appel']","['Diedrich Bader', 'Daniel Radcliffe', 'Lin-Manuel Miranda']",Action,['United States'],"['Los Angeles, California, USA']",['English'],2022
Weird: The Al Yankovic Story,1h 48m,TV-14,6.9,,['Eric Appel'],"[""'Weird Al' Yankovic"", 'Eric Appel']","['Diedrich Bader', 'Daniel Radcliffe', 'Lin-Manuel Miranda']",Biography,['United States'],"['Los Angeles, California, USA']",['English'],2022
Disenchanted,1h 59m,PG,5.6,,['Adam Shankman'],"['Brigitte Hales', 'J. David Stem', 'David N. Weiss']","['Amy Adams', 'Patrick Dempsey', 'Maya Rudolph']",Hand-Drawn Animation,"['United States', 'United Kingdom', 'Denmark', 'Canada', 'Ireland', 'India']","['Enniskerry, Ireland']",['English'],2022
Disenchanted,1h 59m,PG,5.6,,['Adam Shankman'],"['Brigitte Hales', 'J. David Stem', 'David N. Weiss']","['Amy Adams', 'Patrick Dempsey', 'Maya Rudolph']",Adventure,"['United States', 'United Kingdom', 'Denmark', 'Canada', 'Ireland', 'India']","['Enniskerry, Ireland']",['English'],2022
Disenchanted,1h 59m,PG,5.6,,['Adam Shankman'],"['Brigitte Hales', 'J. David Stem', 'David N. Weiss']","['Amy Adams', 'Patrick Dempsey', 'Maya Rudolph']",Animation,"['United States', 'United Kingdom', 'Denmark', 'Canada', 'Ireland', 'India']","['Enniskerry, Ireland']",['English'],2022
The Princess,1h 34m,R,5.7,41844.0,['Le-Van Kiet'],"['Ben Lustig', 'Jake Thornton']","['Joey King', 'Olga Kurylenko', 'Antoni Davidov']",Action,['United States'],"['Sofia, Bulgaria']",['English'],2022
